area,iptu,taxa_condominial,num_quartos,num_banheiros,num_suites,num_vagas_garagem,num_andares,tipo_imovel,estado_construcao,fonte,imovel_lancamento,bl_temporada,vista_mar_bin,mobiliado_bin,preco_m2
203.0,600.0,1700.0,4,5,2,3,0,Apartamento,desconhecido,Viva Real,0,0,0,1,9600.985221674877
80.0,155.0,,3,2,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,5998.75
192.0,0.0,0.0,3,2,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,5729.166666666667
46.0,103.0,431.0,2,1,0,0,0,Apartamento,desconhecido,Viva Real,0,0,0,0,5652.173913043478
129.0,1800.0,1160.0,3,5,3,2,15,Apartamento,desconhecido,Viva Real,0,0,0,0,13565.891472868218
106.0,2910.0,1700.0,3,3,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,10028.301886792453
25.0,495.0,690.0,0,1,0,1,0,Consultório,desconhecido,Viva Real,0,0,0,0,10760.0
452.0,557.0,3850.0,4,4,4,3,0,Cobertura,desconhecido,Viva Real,0,0,1,0,13163.716814159292
131.0,3100.0,780.0,3,4,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,9007.63358778626
100.0,0.0,790.0,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,9050.0
452.0,557.0,3850.0,4,4,4,3,0,Cobertura,desconhecido,Viva Real,0,0,1,0,13163.716814159292
131.0,3100.0,780.0,3,4,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,9007.63358778626
101.0,1513.0,580.0,2,2,1,6,16,Apartamento,desconhecido,Viva Real,0,0,0,1,6782.178217821782
194.0,399.0,1337.0,3,3,1,2,0,Cobertura,desconhecido,Viva Real,0,0,0,0,6180.412371134021
34.0,350.0,374.0,1,1,0,0,0,Apartamento,desconhecido,Viva Real,0,0,0,1,6764.705882352941
139.0,3508.0,1386.0,3,4,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,12158.273381294965
227.0,5450.0,2100.0,4,6,4,4,0,Apartamento,desconhecido,Viva Real,0,0,0,0,11850.22026431718
82.0,820.0,670.0,3,2,1,1,11,Apartamento,desconhecido,Viva Real,0,0,1,1,8512.19512195122
121.0,3458.0,1550.0,3,2,1,1,12,Apartamento,desconhecido,Viva Real,0,0,1,0,10661.157024793389
173.0,1.0,1.0,3,3,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6630.0578034682085
74.0,,817.0,2,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,8648.648648648648
107.0,1650.0,1.0,3,3,1,1,12,Apartamento,desconhecido,Viva Real,0,0,0,0,12616.822429906542
170.0,5000.0,1100.0,4,5,4,3,0,Apartamento,desconhecido,Viva Real,0,0,0,0,19411.764705882353
173.0,4800.0,1100.0,2,4,1,1,0,Cobertura,desconhecido,Viva Real,0,0,1,0,8034.682080924856
250.0,9900.0,2300.0,3,5,3,3,15,Apartamento,desconhecido,Viva Real,0,0,1,0,21806.9153612532
152.0,3000.0,1300.0,3,5,3,3,0,Apartamento,desconhecido,Viva Real,0,0,0,0,14144.736842105263
133.0,2900.0,700.0,3,3,1,1,11,Apartamento,desconhecido,Viva Real,0,0,1,0,6766.917293233083
201.0,5900.0,1700.0,3,3,1,3,0,Cobertura,desconhecido,Viva Real,0,0,0,0,8199.004975124379
50.0,,500.0,1,1,0,0,0,Apartamento,desconhecido,Viva Real,0,0,1,0,10600.0
80.0,,800.0,3,2,0,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,13746.7625
54.0,1200.0,799.0,2,1,0,0,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6296.2962962962965
141.0,3893.0,1069.0,3,4,2,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,9574.468085106382
132.0,0.0,790.0,3,4,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,8939.39393939394
89.0,1457.0,861.0,3,2,0,1,11,Apartamento,desconhecido,Viva Real,0,0,0,1,10674.157303370786
68.0,1420.0,980.0,2,1,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,10441.176470588236
109.0,0.0,1160.0,3,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,5045.871559633028
85.0,3532.0,1816.0,1,2,1,1,0,Flat,desconhecido,Viva Real,0,0,0,1,16235.29411764706
89.0,1457.0,861.0,3,2,0,1,11,Apartamento,desconhecido,Viva Real,0,0,0,1,10674.157303370786
98.0,0.0,0.0,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,4846.938775510204
99.0,1636.0,783.0,3,2,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6464.646464646465
109.0,0.0,1160.0,3,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,5045.871559633028
46.0,341.0,486.0,0,0,0,1,0,Consultório,desconhecido,Viva Real,0,0,0,0,17411.630434782608
306.0,2700.0,1800.0,3,3,2,3,12,Apartamento,desconhecido,Viva Real,0,0,1,1,9738.562091503269
79.0,1400.0,769.0,2,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,6202.53164556962
139.0,4800.0,1300.0,3,4,3,2,15,Apartamento,desconhecido,Viva Real,0,0,0,0,19784.172661870503
122.0,2600.0,1200.0,3,3,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,7459.016393442623
116.0,1.0,1.0,3,4,3,2,11,Apartamento,desconhecido,Viva Real,0,0,1,0,11896.551724137931
210.0,1500.0,2100.0,2,3,2,1,0,Cobertura,desconhecido,Viva Real,0,0,1,1,14000.0
140.0,3000.0,1358.0,3,2,2,1,12,Apartamento,desconhecido,Viva Real,0,0,0,1,6214.285714285715
125.0,2900.0,800.0,3,5,3,2,9,Apartamento,desconhecido,Viva Real,0,0,1,0,14392.008
68.0,2356.0,957.0,0,1,0,0,12,Ponto Comercial/Loja/Box,desconhecido,Viva Real,0,0,0,0,10000.0
140.0,0.0,815.0,3,3,1,3,0,Apartamento,desconhecido,Viva Real,0,0,0,1,18928.571428571428
140.0,,,3,4,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,5357.142857142857
110.0,2627.0,1423.0,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,1,9636.363636363636
220.0,5552.0,1800.0,3,5,2,3,0,Apartamento,desconhecido,Viva Real,0,0,1,0,8181.818181818182
90.0,850.0,907.0,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,7222.222222222223
60.0,589.0,405.0,1,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,1,13833.333333333334
